Name,Permissions
netlink_netfilter_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
appletalk_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_resource,"read, write"
packet,"flow_in, flow_out, forward_in, forward_out, recv, relabelto, send"
x_event,"receive, send"
alg_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
lnk_file,"append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
perf_event,"cpu, kernel, open, read, tracepoint, write"
unix_dgram_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
tcp_socket,"accept, acceptfrom, append, bind, connect, connectto, create, getattr, getopt, ioctl, listen, lock, map, name_bind, name_connect, newconn, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
kcm_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_device,"add, bell, create, destroy, force_cursor, freeze, get_property, getattr, getfocus, grab, list_property, manage, read, remove, set_property, setattr, setfocus, use, write"
db_blob,"create, drop, export, getattr, import, read, relabelfrom, relabelto, setattr, write"
ax25_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
db_tuple,"delete, insert, relabelfrom, relabelto, select, update, use"
dbus,"acquire_svc, send_msg"
dccp_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, name_connect, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
memprotect,mmap_zero
netlink_generic_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_screen,"getattr, hide_cursor, saver_getattr, saver_hide, saver_setattr, saver_show, setattr, show_cursor"
key,"create, link, read, search, setattr, view, write"
can_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_tcpdiag_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
rxrpc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
capability,"audit_control, audit_write, chown, dac_override, dac_read_search, fowner, fsetid, ipc_lock, ipc_owner, kill, lease, linux_immutable, mknod, net_admin, net_bind_service, net_broadcast, net_raw, setfcap, setgid, setpcap, setuid, sys_admin, sys_boot, sys_chroot, sys_module, sys_nice, sys_pacct, sys_ptrace, sys_rawio, sys_resource, sys_time, sys_tty_config"
iucv_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
ieee802154_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
process2,"nnp_transition, nosuid_transition"
sem,"associate, create, destroy, getattr, read, setattr, unix_read, unix_write, write"
chr_file,"append, audit_access, create, entrypoint, execmod, execute, execute_no_trans, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
netlink_rdma_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
fd,use
process,"dyntransition, execheap, execmem, execstack, fork, getattr, getcap, getpgid, getrlimit, getsched, getsession, noatsecure, ptrace, rlimitinh, setcap, setcurrent, setexec, setfscreate, setkeycreate, setpgid, setrlimit, setsched, setsockcreate, share, sigchld, siginh, sigkill, signal, signull, sigstop, transition"
tun_socket,"accept, append, attach_queue, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
tipc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_audit_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_readpriv, nlmsg_relay, nlmsg_tty_audit, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netif,"dccp_recv, dccp_send, egress, ingress, rawip_recv, rawip_send, tcp_recv, tcp_send, udp_recv, udp_send"
blk_file,"append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
x_pointer,"add, bell, create, destroy, force_cursor, freeze, get_property, getattr, getfocus, grab, list_property, manage, read, remove, set_property, setattr, setfocus, use, write"
association,"polmatch, recvfrom, sendto, setcontext"
kernel_service,"create_files_as, use_as_override"
netlink_crypto_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
anon_inode,"append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
qipcrtr_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x25_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_ip6fw_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_selection,"getattr, read, setattr, write"
db_sequence,"create, drop, get_value, getattr, next_value, relabelfrom, relabelto, set_value, setattr"
x_colormap,"add_color, create, destroy, getattr, install, read, remove_color, uninstall, use, write"
x_property,"append, create, destroy, getattr, read, setattr, write"
filesystem,"associate, getattr, mount, quotaget, quotamod, relabelfrom, relabelto, remount, transition, unmount, watch"
peer,recv
x_server,"debug, getattr, grab, manage, record, setattr"
user_namespace,create
x_cursor,"create, destroy, getattr, read, setattr, use, write"
db_column,"create, drop, getattr, insert, relabelfrom, relabelto, select, setattr, update"
sctp_socket,"accept, append, association, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, name_connect, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_dnrt_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
nfc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
rds_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
msg,"receive, send"
ipx_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
atmsvc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
key_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
proxy,read
msgq,"associate, create, destroy, enqueue, getattr, read, setattr, unix_read, unix_write, write"
netlink_fib_lookup_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_selinux_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
db_view,"create, drop, expand, getattr, relabelfrom, relabelto, setattr"
security,"check_context, compute_av, compute_create, compute_member, compute_relabel, compute_user, load_policy, read_policy, setbool, setcheckreqprot, setenforce, setsecparam, validate_trans"
cap2_userns,"audit_read, block_suspend, bpf, checkpoint_restore, mac_admin, mac_override, perfmon, syslog, wake_alarm"
netlink_scsitransport_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
unix_stream_socket,"accept, acceptfrom, append, bind, connect, connectto, create, getattr, getopt, ioctl, listen, lock, map, name_bind, newconn, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
packet_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
pppox_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
service,"disable, enable, reload, start, status, stop"
lockdown,"confidentiality, integrity"
netlink_xfrm_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
system,"disable, enable, halt, ipc_info, module_load, module_request, reboot, reload, start, status, stop, syslog_console, syslog_mod, syslog_read, undefined"
db_table,"create, delete, drop, getattr, insert, lock, relabelfrom, relabelto, select, setattr, update"
rawip_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_route_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_kobject_uevent_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
icmp_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
infiniband_endport,manage_subnet
isdn_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
db_procedure,"create, drop, entrypoint, execute, getattr, install, relabelfrom, relabelto, setattr"
x_font,"add_glyph, create, destroy, getattr, remove_glyph, use"
caif_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_synthetic_event,"receive, send"
io_uring,"cmd, override_creds, sqpoll"
x_client,"destroy, getattr, manage, setattr"
llc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
smc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
file,"append, audit_access, create, entrypoint, execmod, execute, execute_no_trans, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
cap_userns,"audit_control, audit_write, chown, dac_override, dac_read_search, fowner, fsetid, ipc_lock, ipc_owner, kill, lease, linux_immutable, mknod, net_admin, net_bind_service, net_broadcast, net_raw, setfcap, setgid, setpcap, setuid, sys_admin, sys_boot, sys_chroot, sys_module, sys_nice, sys_pacct, sys_ptrace, sys_rawio, sys_resource, sys_time, sys_tty_config"
node,"dccp_recv, dccp_send, enforce_dest, rawip_recv, rawip_send, recvfrom, sendto, tcp_recv, tcp_send, udp_recv, udp_send"
x_gc,"create, destroy, getattr, setattr, use"
passwd,"chfn, chsh, crontab, passwd, rootok"
bluetooth_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_keyboard,"add, bell, create, destroy, force_cursor, freeze, get_property, getattr, getfocus, grab, list_property, manage, read, remove, set_property, setattr, setfocus, use, write"
netrom_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
bpf,"map_create, map_read, map_write, prog_load, prog_run"
netlink_firewall_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, nlmsg_read, nlmsg_write, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
netlink_nflog_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
shm,"associate, create, destroy, getattr, lock, read, setattr, unix_read, unix_write, write"
xdp_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
rose_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
phonet_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
x_application_data,"copy, paste, paste_after_confirm"
db_database,"access, create, drop, get_param, getattr, install_module, load_module, relabelfrom, relabelto, set_param, setattr"
netlink_iscsi_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
vsock_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
ipc,"associate, create, destroy, getattr, read, setattr, unix_read, unix_write, write"
irda_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
atmpvc_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
decnet_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
capability2,"audit_read, block_suspend, bpf, checkpoint_restore, epolwakeup, mac_admin, mac_override, perfmon, syslog, wake_alarm"
sock_file,"append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
x_drawable,"add_child, blend, create, destroy, get_property, getattr, hide, list_child, list_property, manage, override, read, receive, remove_child, send, set_property, setattr, show, write"
db_schema,"add_name, create, drop, getattr, relabelfrom, relabelto, remove_name, search, setattr"
db_language,"create, drop, execute, getattr, implement, relabelfrom, relabelto, setattr"
binder,"call, impersonate, set_context_mgr, transfer"
mctp_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
context,"contains, translate"
dir,"add_name, append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, remove_name, rename, reparent, rmdir, search, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
fifo_file,"append, audit_access, create, execmod, execute, getattr, ioctl, link, lock, map, mounton, open, quotaon, read, relabelfrom, relabelto, rename, setattr, swapon, unlink, watch, watch_mount, watch_reads, watch_sb, watch_with_perm, write"
infiniband_pkey,access
x_extension,"query, use"
netlink_connector_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
udp_socket,"accept, append, bind, connect, create, getattr, getopt, ioctl, listen, lock, map, name_bind, node_bind, read, recv_msg, recvfrom, relabelfrom, relabelto, send_msg, sendto, setattr, setopt, shutdown, write"
nscd,"admin, getgrp, gethost, getnetgrp, getpwd, getserv, getstat, shmemgrp, shmemhost, shmemnetgrp, shmempwd, shmemserv"
